date,sample.bout,Transect,baseline,baseline.rep,Number of Points Along Transect_fromRick,Number of points along transect_ChrissyCalc,Transect_Length,Transect Point,Bank_Location,Hit Number,Family,Species Hit,Surface Hit,Transect Point Soil Surface,VegHit_SoilSurfaceHit,Longevity,Longevity_2,Habit,FunctionalGroup,FunctionalGroup2,Nativity,Cvalue,WIS_WMVC,WIS_GP,WIS_Grouped
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,0.75,upper,1,Asteraceae,Arctium minus,NULL,litter,Arctium minus,Biennial,Short-lived,Forb,BF,Short-lived Forb,Introduced,0,FACU,FACU,FACU-UPL
5/27/2020,1,B10-25,B10,3,41,41,10,0.75,upper,1,Asteraceae,Arctium minus,NULL,litter,Arctium minus,Biennial,Short-lived,Forb,BF,Short-lived Forb,Introduced,0,FACU,FACU,FACU-UPL
5/27/2020,1,B10-37.5,B10,4,26,26,6.25,0,upper,2,Asteraceae,Artemisia ludoviciana,NULL,litter,Artemisia ludoviciana,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,4,FACU,UPL,FACU-UPL
5/27/2020,1,B10-37.5,B10,4,26,26,6.25,0.25,upper,1,Asteraceae,Artemisia ludoviciana,NULL,litter,Artemisia ludoviciana,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,4,FACU,UPL,FACU-UPL
6/30/2020,2,B10-37.5,B10,4,26,39,9.5,1,upper,1,Asteraceae,Artemisia ludoviciana,NULL,litter,Artemisia ludoviciana,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,4,FACU,UPL,FACU-UPL
6/30/2020,2,B10-37.5,B10,4,26,39,9.5,6.5,lower,2,Asclepiadaceae,Asclepias,NULL,litter,Asclepias,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,NA,NA,NA,NA
5/26/2020,1,B7-0,B7,1,16,16,3.75,1.75,middle,2,Asclepiadaceae,Asclepias speciosa,NULL,litter,Asclepias speciosa,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,3,FAC,FAC,FAC
7/1/2020,2,B15-0,B15,1,36,41,10,3.75,middle,2,Asclepiadaceae,Asclepias speciosa,NULL,litter,Asclepias speciosa,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,3,FAC,FAC,FAC
7/1/2020,2,B15-50,B15,5,24,26,6.25,3,middle,1,Asclepiadaceae,Asclepias speciosa,NULL,bare soil,Asclepias speciosa,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,3,FAC,FAC,FAC
7/2/2020,2,B17-12.5,B17,2,25,31,7.5,5,middle,1,Asclepiadaceae,Asclepias speciosa,NULL,litter,Asclepias speciosa,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,3,FAC,FAC,FAC
7/2/2020,2,B17-12.5,B17,2,25,31,7.5,5.75,lower,2,Asclepiadaceae,Asclepias speciosa,NULL,litter,Asclepias speciosa,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,3,FAC,FAC,FAC
7/2/2020,2,B17-25,B17,3,24,28,6.75,2.75,middle,1,Asclepiadaceae,Asclepias speciosa,NULL,litter,Asclepias speciosa,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,3,FAC,FAC,FAC
7/2/2020,2,B17-25,B17,3,24,28,6.75,3,middle,2,Asclepiadaceae,Asclepias speciosa,NULL,litter,Asclepias speciosa,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,3,FAC,FAC,FAC
7/2/2020,2,B17-25,B17,3,24,28,6.75,5,lower,1,Asclepiadaceae,Asclepias speciosa,NULL,litter,Asclepias speciosa,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,3,FAC,FAC,FAC
7/1/2020,2,B14-50,B14,5,18,33,8,3.5,middle,2,Asteraceae,Bidens,NULL,bare soil,Bidens,Annual,Short-lived,Forb,AF,Short-lived Forb,NA,NA,FACW,FACW,FACW-OBL
7/1/2020,2,B14-50,B14,5,18,33,8,3.75,middle,2,Asteraceae,Bidens,NULL,bare soil,Bidens,Annual,Short-lived,Forb,AF,Short-lived Forb,NA,NA,FACW,FACW,FACW-OBL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,0,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,0.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,0.5,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,0.75,upper,2,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,1,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,1.5,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,1.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-12.5,B10,2,28,28,6.75,2,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-25,B10,3,41,41,10,1,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-25,B10,3,41,41,10,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-25,B10,3,41,41,10,1.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-25,B10,3,41,41,10,2,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/27/2020,1,B10-25,B10,3,41,41,10,2.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-25,B13,3,17,27,6.5,0,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-25,B13,3,17,27,6.5,0.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-35.5,B13,4,20,20,4.75,0,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-35.5,B13,4,20,20,4.75,0.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-35.5,B13,4,20,20,4.75,0.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-35.5,B13,4,20,20,4.75,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-50,B13,5,20,20,4.75,0,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-50,B13,5,20,20,4.75,0.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-50,B13,5,20,20,4.75,0.5,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-50,B13,5,20,20,4.75,0.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-50,B13,5,20,20,4.75,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B13-50,B13,5,20,20,4.75,1.5,upper,2,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-25,B14,3,41,41,10,0.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-25,B14,3,41,41,10,1,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-25,B14,3,41,41,10,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-25,B14,3,41,41,10,3.75,middle,2,Poaceae,Bromus inermis,NULL,bare soil,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,0,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,0.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,0.5,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,0.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,1,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,1.5,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,1.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-36.5,B14,4,45,45,11,2,upper,1,Poaceae,Bromus inermis,NULL,bare soil,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-14,B15,2,53,53,13,4,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-14,B15,2,53,53,13,4.25,upper,1,Poaceae,Bromus inermis,NULL,downed woody debris,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-14,B15,2,53,53,13,4.5,middle,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-25,B15,3,41,41,10,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-37.5,B15,4,27,27,6.5,2,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-37.5,B15,4,27,27,6.5,2.25,middle,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-37.5,B15,4,27,27,6.5,2.5,middle,2,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-37.5,B15,4,27,27,6.5,2.75,middle,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-37.5,B15,4,27,27,6.5,3,middle,2,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-50,B15,5,24,24,5.75,0.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,0.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,0.5,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,0.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,1,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,1.5,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,1.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,2,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,2.5,middle,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,3,middle,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,3.25,middle,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-12.5,B17,2,25,25,6,4.25,lower,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-25,B17,3,24,24,5.75,0,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-25,B17,3,24,24,5.75,0.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-25,B17,3,24,24,5.75,0.5,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-25,B17,3,24,24,5.75,0.75,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-25,B17,3,24,24,5.75,1,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B17-25,B17,3,24,24,5.75,1.25,upper,1,Poaceae,Bromus inermis,NULL,litter,Bromus inermis,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
