Baseline,Transect,Total Hits,Location,Hit by Loc,Bare,Litter,WoodDebris,Water,Rock,Prop Bare,Prop Litter,Prop WoodDebris,Prop Water,Prop Rock
B14,B14-36.5,127,upper,57,15,42,0,0,0,0.26,0.74,0.00,0.00,0.00
B14,B14-50,96,lower,20,18,1,0,1,0,0.90,0.05,0.00,0.05,0.00
B14,B14-50,96,middle,30,26,4,0,0,0,0.87,0.13,0.00,0.00,0.00
B14,B14-50,96,upper,46,6,40,0,0,0,0.13,0.87,0.00,0.00,0.00
B15,B15-0,146,lower,34,16,11,0,7,0,0.47,0.32,0.00,0.21,0.00
B15,B15-0,146,middle,52,12,40,0,0,0,0.23,0.77,0.00,0.00,0.00
B15,B15-0,146,upper,59,0,59,0,0,0,0.00,1.00,0.00,0.00,0.00
B15,B15-14,195,lower,62,19,35,0,8,0,0.31,0.56,0.00,0.13,0.00
B15,B15-14,195,middle,56,0,56,0,0,0,0.00,1.00,0.00,0.00,0.00
B15,B15-14,195,upper,77,0,75,2,0,0,0.00,0.97,0.03,0.00,0.00
B15,B15-25,146,lower,34,6,2,2,24,0,0.18,0.06,0.06,0.71,0.00
B15,B15-25,146,middle,52,0,52,0,0,0,0.00,1.00,0.00,0.00,0.00
B15,B15-25,146,upper,60,2,58,0,0,0,0.03,0.97,0.00,0.00,0.00
B15,B15-37.5,110,lower,30,2,26,0,2,0,0.07,0.87,0.00,0.07,0.00
B15,B15-37.5,110,middle,40,0,39,1,0,0,0.00,0.98,0.03,0.00,0.00
B15,B15-37.5,110,upper,40,0,40,0,0,0,0.00,1.00,0.00,0.00,0.00
B15,B15-50,103,lower,31,7,21,0,3,0,0.23,0.68,0.00,0.10,0.00
B15,B15-50,103,middle,32,15,17,0,0,0,0.47,0.53,0.00,0.00,0.00
B15,B15-50,103,upper,40,0,40,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-0,84,lower,26,0,24,0,2,0,0.00,0.92,0.00,0.08,0.00
B17,B17-0,84,middle,26,3,23,0,0,0,0.12,0.88,0.00,0.00,0.00
B17,B17-0,84,upper,32,0,32,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-12.5,114,lower,32,2,27,0,3,0,0.06,0.84,0.00,0.09,0.00
B17,B17-12.5,114,middle,44,0,44,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-12.5,114,upper,38,0,38,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-25,100,lower,36,3,31,0,2,0,0.08,0.86,0.00,0.06,0.00
B17,B17-25,100,middle,29,0,29,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-25,100,upper,35,0,35,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-37.5,91,lower,29,25,2,0,2,0,0.86,0.07,0.00,0.07,0.00
B17,B17-37.5,91,middle,34,0,34,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-37.5,91,upper,28,0,28,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-50,73,lower,10,2,7,0,1,0,0.20,0.70,0.00,0.10,0.00
B17,B17-50,73,middle,22,1,21,0,0,0,0.05,0.95,0.00,0.00,0.00
B17,B17-50,73,upper,41,5,35,0,1,0,0.12,0.85,0.00,0.02,0.00
B18,B18-0,115,lower,28,8,9,0,11,0,0.29,0.32,0.00,0.39,0.00
B18,B18-0,115,middle,38,18,12,0,8,0,0.47,0.32,0.00,0.21,0.00
B18,B18-0,115,upper,49,0,49,0,0,0,0.00,1.00,0.00,0.00,0.00
B18,B18-12.5,105,lower,28,10,0,0,18,0,0.36,0.00,0.00,0.64,0.00
B18,B18-12.5,105,middle,33,10,23,0,0,0,0.30,0.70,0.00,0.00,0.00
B18,B18-12.5,105,upper,44,0,44,0,0,0,0.00,1.00,0.00,0.00,0.00
B18,B18-25,87,lower,16,0,12,0,4,0,0.00,0.75,0.00,0.25,0.00
B18,B18-25,87,middle,30,8,22,0,0,0,0.27,0.73,0.00,0.00,0.00
B18,B18-25,87,upper,41,0,41,0,0,0,0.00,1.00,0.00,0.00,0.00
B18,B18-37.5,84,lower,21,6,8,0,7,0,0.29,0.38,0.00,0.33,0.00
B18,B18-37.5,84,middle,31,0,31,0,0,0,0.00,1.00,0.00,0.00,0.00
B18,B18-37.5,84,upper,32,0,32,0,0,0,0.00,1.00,0.00,0.00,0.00
B18,B18-50,99,lower,24,8,14,0,2,0,0.33,0.58,0.00,0.08,0.00
B18,B18-50,99,middle,37,0,37,0,0,0,0.00,1.00,0.00,0.00,0.00
B18,B18-50,99,upper,38,0,38,0,0,0,0.00,1.00,0.00,0.00,0.00
B3,B3-0,82,lower,13,6,7,0,0,0,0.46,0.54,0.00,0.00,0.00
B3,B3-0,82,middle,22,13,8,1,0,0,0.59,0.36,0.05,0.00,0.00
B3,B3-0,82,upper,37,9,28,0,0,0,0.24,0.76,0.00,0.00,0.00
B3,B3-10,132,lower,26,15,9,2,0,0,0.58,0.35,0.08,0.00,0.00
B3,B3-10,132,middle,31,18,12,1,0,0,0.58,0.39,0.03,0.00,0.00
B3,B3-10,132,upper,75,22,53,0,0,0,0.29,0.71,0.00,0.00,0.00
B3,B3-20,146,lower,28,3,25,0,0,0,0.11,0.89,0.00,0.00,0.00
B3,B3-20,146,middle,54,23,31,0,0,0,0.43,0.57,0.00,0.00,0.00
B3,B3-20,146,upper,64,7,57,0,0,0,0.11,0.89,0.00,0.00,0.00
B3,B3-29,88,lower,24,13,11,0,0,0,0.54,0.46,0.00,0.00,0.00
B3,B3-29,88,middle,28,6,22,0,0,0,0.21,0.79,0.00,0.00,0.00
B3,B3-29,88,upper,36,0,35,1,0,0,0.00,0.97,0.03,0.00,0.00
B3,B3-41,101,lower,25,6,19,0,0,0,0.24,0.76,0.00,0.00,0.00
B3,B3-41,101,middle,27,14,13,0,0,0,0.52,0.48,0.00,0.00,0.00
B3,B3-41,101,upper,49,4,35,10,0,0,0.08,0.71,0.20,0.00,0.00
B5,B5-0,77,lower,19,15,3,0,1,0,0.79,0.16,0.00,0.05,0.00
B5,B5-0,77,middle,24,10,14,0,0,0,0.42,0.58,0.00,0.00,0.00
B5,B5-0,77,upper,34,4,30,0,0,0,0.12,0.88,0.00,0.00,0.00
B5,B5-12.5,86,lower,23,6,16,0,1,0,0.26,0.70,0.00,0.04,0.00
B5,B5-12.5,86,middle,29,9,20,0,0,0,0.31,0.69,0.00,0.00,0.00
B5,B5-12.5,86,upper,34,5,29,0,0,0,0.15,0.85,0.00,0.00,0.00
B5,B5-25,84,lower,22,6,13,0,3,0,0.27,0.59,0.00,0.14,0.00
B5,B5-25,84,middle,24,6,18,0,0,0,0.25,0.75,0.00,0.00,0.00
B5,B5-25,84,upper,38,0,38,0,0,0,0.00,1.00,0.00,0.00,0.00
B5,B5-37.5,69,lower,21,13,7,0,1,0,0.62,0.33,0.00,0.05,0.00
B5,B5-37.5,69,middle,15,1,13,1,0,0,0.07,0.87,0.07,0.00,0.00
B5,B5-37.5,69,upper,33,0,33,0,0,0,0.00,1.00,0.00,0.00,0.00
B5,B5-50,101,lower,26,3,22,0,1,0,0.12,0.85,0.00,0.04,0.00
B5,B5-50,101,middle,30,1,29,0,0,0,0.03,0.97,0.00,0.00,0.00
B5,B5-50,101,upper,45,0,45,0,0,0,0.00,1.00,0.00,0.00,0.00
B7,B7-0,88,lower,24,21,0,0,3,0,0.88,0.00,0.00,0.13,0.00
B7,B7-0,88,middle,31,12,19,0,0,0,0.39,0.61,0.00,0.00,0.00
B7,B7-0,88,upper,33,0,33,0,0,0,0.00,1.00,0.00,0.00,0.00
B7,B7-12.5,80,lower,19,12,6,0,1,0,0.63,0.32,0.00,0.05,0.00
B7,B7-12.5,80,middle,25,2,23,0,0,0,0.08,0.92,0.00,0.00,0.00
B7,B7-12.5,80,upper,36,2,34,0,0,0,0.06,0.94,0.00,0.00,0.00
B7,B7-25,85,lower,25,10,15,0,0,0,0.40,0.60,0.00,0.00,0.00
B7,B7-25,85,middle,26,1,25,0,0,0,0.04,0.96,0.00,0.00,0.00
B7,B7-25,85,upper,34,0,34,0,0,0,0.00,1.00,0.00,0.00,0.00
B7,B7-37.5,85,lower,22,3,18,0,1,0,0.14,0.82,0.00,0.05,0.00
B7,B7-37.5,85,middle,29,1,28,0,0,0,0.03,0.97,0.00,0.00,0.00
B7,B7-37.5,85,upper,34,0,33,1,0,0,0.00,0.97,0.03,0.00,0.00
B7,B7-50,71,lower,21,5,15,0,1,0,0.24,0.71,0.00,0.05,0.00
B7,B7-50,71,middle,18,0,18,0,0,0,0.00,1.00,0.00,0.00,0.00
B7,B7-50,71,upper,32,0,32,0,0,0,0.00,1.00,0.00,0.00,0.00
