Baseline,Transect,Location,Total Hits,Hits by Loc,Native,Introduced,Prop native,Prop Intro
B18,B18-12.5,upper,20,8,0,8,0,1
B18,B18-25,lower,18,7,5,2,0.714285714,0.285714286
B18,B18-25,middle,18,5,0,5,0,1
B18,B18-25,upper,18,6,0,6,0,1
B18,B18-37.5,lower,14,6,4,2,0.666666667,0.333333333
B18,B18-37.5,middle,14,4,0,4,0,1
B18,B18-37.5,upper,14,4,0,4,0,1
B18,B18-50,lower,17,6,6,0,1,0
B18,B18-50,middle,17,5,2,3,0.4,0.6
B18,B18-50,upper,17,6,0,6,0,1
B3,B3-0,lower,7,0,0,0,0,0
B3,B3-0,middle,7,0,0,0,0,0
B3,B3-0,upper,7,7,2,5,0.285714286,0.714285714
B3,B3-10,lower,8,0,0,0,0,0
B3,B3-10,middle,8,0,0,0,0,0
B3,B3-10,upper,8,8,0,8,0,1
B3,B3-20,lower,14,0,0,0,0,0
B3,B3-20,middle,14,3,2,1,0.666666667,0.333333333
B3,B3-20,upper,14,11,0,11,0,1
B3,B3-29,lower,6,0,0,0,0,0
B3,B3-29,middle,6,2,0,2,0,1
B3,B3-29,upper,6,4,0,4,0,1
B3,B3-41,lower,11,0,0,0,0,0
B3,B3-41,middle,11,2,0,2,0,1
B3,B3-41,upper,11,9,0,9,0,1
B5,B5-0,lower,13,1,0,1,0,1
B5,B5-0,middle,13,6,0,6,0,1
B5,B5-0,upper,13,6,0,6,0,1
B5,B5-12.5,lower,15,3,0,3,0,1
B5,B5-12.5,middle,15,6,4,2,0.666666667,0.333333333
B5,B5-12.5,upper,15,6,0,6,0,1
B5,B5-25,lower,12,2,0,2,0,1
B5,B5-25,middle,12,4,0,4,0,1
B5,B5-25,upper,12,6,0,6,0,1
B5,B5-37.5,lower,8,1,1,0,1,0
B5,B5-37.5,middle,8,1,0,1,0,1
B5,B5-37.5,upper,8,6,1,5,0.166666667,0.833333333
B5,B5-50,lower,13,2,1,1,0.5,0.5
B5,B5-50,middle,13,4,0,4,0,1
B5,B5-50,upper,13,7,0,7,0,1
B7,B7-0,lower,11,3,1,2,0.333333333,0.666666667
B7,B7-0,middle,11,2,0,2,0,1
B7,B7-0,upper,11,6,0,6,0,1
B7,B7-12.5,lower,7,1,0,1,0,1
B7,B7-12.5,middle,7,1,0,1,0,1
B7,B7-12.5,upper,7,5,0,5,0,1
B7,B7-25,lower,11,2,0,2,0,1
B7,B7-25,middle,11,3,0,3,0,1
B7,B7-25,upper,11,6,0,6,0,1
B7,B7-37.5,lower,9,2,0,2,0,1
B7,B7-37.5,middle,9,2,1,1,0.5,0.5
B7,B7-37.5,upper,9,5,0,5,0,1
B7,B7-50,lower,6,1,0,1,0,1
B7,B7-50,middle,6,0,0,0,0,0
B7,B7-50,upper,6,5,0,5,0,1
