date,sample.bout,Transect,baseline,baseline.rep,Number of Points Along Transect_fromRick,Number of points along transect_ChrissyCalc,Transect_Length,Transect Point,Bank_Location,Hit Number,Species Hit,Surface Hit,Transect Point Soil Surface,VegHit_SoilSurfaceHit,Longevity,Longevity_2,Habit,FunctionalGroup2,FunctionalGroup,Nativity,Cvalue,WIS_WMVC,WIS_GP,WIS_Grouped
6/30/20,2,B13-12.5,B13,2,17,28,6.75,1.5,upper,1,Mirabilis nyctaginea,NA,bare soil,Mirabilis nyctaginea,Perennial,Long-lived,Forb,Long-lived Forb,W,Native,NA,FACU,FAC,FAC
6/30/20,2,B13-12.5,B13,2,17,28,6.75,1.75,upper,2,Mirabilis nyctaginea,NA,litter,Mirabilis nyctaginea,Perennial,Long-lived,Forb,Long-lived Forb,W,Native,NA,FACU,FAC,FAC
6/30/20,2,B13-12.5,B13,2,17,28,6.75,2.25,upper,1,Mirabilis nyctaginea,NA,litter,Mirabilis nyctaginea,Perennial,Long-lived,Forb,Long-lived Forb,W,Native,NA,FACU,FAC,FAC
6/30/20,2,B13-12.5,B13,2,17,28,6.75,2.5,middle,2,Mirabilis nyctaginea,NA,litter,Mirabilis nyctaginea,Perennial,Long-lived,Forb,Long-lived Forb,W,Native,NA,FACU,FAC,FAC
7/1/20,2,B14-0,B14,1,25,26,6.25,3,middle,2,Parthenocissus vitacea,NA,rock,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,1.5,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,2,upper,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,2.25,upper,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,2.5,upper,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,3.25,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,3.5,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,3.75,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,1.5,upper,2,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,1.75,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,2,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,2.25,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,2.75,upper,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,3,upper,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,4.25,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,4.5,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,4.75,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,1,upper,2,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,1.75,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,2,upper,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,2.25,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,2.75,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,3.25,middle,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,3.5,middle,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,3.75,middle,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,4,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,4.25,middle,2,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,4.5,middle,2,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,4.75,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-20,B3,3,37,37,9,5.25,middle,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,2,upper,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,2.25,upper,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,2.5,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,2.75,upper,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,3,middle,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,3.25,middle,2,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,3.75,middle,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,4.25,middle,2,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,4.5,middle,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,4.75,middle,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,5,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,5.5,middle,2,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,5.75,lower,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,6,lower,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,6.25,lower,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B5-12.5,B5,2,18,29,7,1,upper,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/26/20,1,B7-12.5,B7,2,20,20,4.75,2.25,middle,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/26/20,1,B7-12.5,B7,2,20,20,4.75,3.75,lower,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B7-12.5,B7,2,20,29,7,4.5,middle,1,Parthenocissus vitacea,NA,bare soil,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B7-25,B7,3,21,33,8,5.5,lower,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/26/20,1,B7-50,B7,5,17,17,4,2,middle,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
6/29/20,2,B7-50,B7,5,17,23,5.5,1.75,upper,1,Parthenocissus vitacea,NA,litter,Parthenocissus vitacea,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,NA,FACU,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,0,upper,1,Poa pratensis,NA,bare soil,Poa pratensis,Perennial,Long-lived,Graminoid,Long-lived Graminoid,PF,Introduced,0,FAC,FAC,FAC
5/22/20,1,B3-10,B3,2,37,37,9,0.25,upper,2,Poa pratensis,NA,litter,Poa pratensis,Perennial,Long-lived,Graminoid,Long-lived Graminoid,PF,Introduced,0,FAC,FAC,FAC
6/29/20,2,B3-20,B3,3,37,35,8.5,6,lower,2,Prunus virginiana,NA,litter,Prunus virginiana,Perennial,Long-lived,Woody,Long-lived Woody,W,Native,5,FAC,FAC,FAC
5/29/20,1,B15-0,B15,1,36,36,8.75,5.5,middle,2,Rumex crispus,NA,bare soil,Rumex crispus,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
6/29/20,2,B5-50,B5,5,20,30,7.25,4.25,middle,1,Rumex crispus,NA,litter,Rumex crispus,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B14-25,B14,3,41,41,10,9,lower,1,Sagittaria,NA,bare soil,Sagittaria,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B14-25,B14,3,41,41,10,9.75,lower,1,Sagittaria,NA,bare soil,Sagittaria,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,9,lower,1,Sagittaria,NA,bare soil,Sagittaria,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,9.25,lower,1,Sagittaria,NA,bare soil,Sagittaria,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,9.5,lower,1,Sagittaria,NA,bare soil,Sagittaria,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,10.25,lower,1,Sagittaria,NA,bare soil,Sagittaria,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,10.5,lower,1,Sagittaria,NA,bare soil,Sagittaria,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,11,lower,1,Sagittaria,NA,bare soil,Sagittaria,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FAC,FAC,FAC
5/29/20,1,B15-0,B15,1,36,36,8.75,5,middle,1,Salix exigua ssp. exigua,NA,bare soil,Salix exigua ssp. exigua,Perennial,Long-lived,Woody,Long-lived Woody,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B15-0,B15,1,36,41,10,1.75,upper,1,Salix exigua ssp. exigua,NA,litter,Salix exigua ssp. exigua,Perennial,Long-lived,Woody,Long-lived Woody,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B15-0,B15,1,36,41,10,6.5,middle,1,Salix exigua ssp. exigua,NA,litter,Salix exigua ssp. exigua,Perennial,Long-lived,Woody,Long-lived Woody,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B15-0,B15,1,36,41,10,7,lower,2,Salix exigua ssp. exigua,NA,litter,Salix exigua ssp. exigua,Perennial,Long-lived,Woody,Long-lived Woody,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B15-0,B15,1,36,41,10,7.75,lower,1,Salix exigua ssp. exigua,NA,litter,Salix exigua ssp. exigua,Perennial,Long-lived,Woody,Long-lived Woody,PF,Introduced,0,FAC,FAC,FAC
7/1/20,2,B15-14,B15,2,53,49,12,1.25,upper,1,Salix exigua ssp. exigua,NA,litter,Salix exigua ssp. exigua,Perennial,Long-lived,Woody,Long-lived Woody,PF,Introduced,0,FAC,FAC,FAC
5/26/20,1,B7-0,B7,1,16,16,3.75,0,upper,1,Medicago lupulina,NA,litter,Medicago lupulina,Annual,Short-lived,Forb,Short-lived Forb,BF,Introduced,0,FACU,FACU,FACU-UPL
7/1/20,2,B14-25,B14,3,41,51,12.5,6.5,middle,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,BF,Introduced,0,FACU,FACU,FACU-UPL
5/22/20,1,B3-20,B3,3,37,37,9,4.25,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,W,Introduced,0,FACU,FACU,FACU-UPL
5/22/20,1,B3-20,B3,3,37,37,9,4.5,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,W,Introduced,0,FACU,FACU,FACU-UPL
5/22/20,1,B3-20,B3,3,37,37,9,4.75,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,W,Introduced,0,FACU,FACU,FACU-UPL
6/29/20,2,B3-20,B3,3,37,35,8.5,5,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,AF,Introduced,0,FACU,FACU,FACU-UPL
6/29/20,2,B3-20,B3,3,37,35,8.5,8,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PF,Introduced,0,FAC,FACU,FACU-UPL
5/22/20,1,B3-29,B3,4,37,37,9,5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PF,Introduced,0,FAC,FACU,FACU-UPL
