Baseline,Transect,Location,Total Hits,Hits by Loc,Introduced,Native,Prop intro,Prop native
B14,B14-36.5,middle,19,1,1,0,1,0
B14,B14-36.5,upper,19,18,18,0,1,0
B14,B14-50,lower,20,3,2,1,0.666666667,0.333333333
B14,B14-50,middle,20,6,6,0,1,0
B14,B14-50,upper,20,11,11,0,1,0
B15,B15-0,lower,11,1,0,1,0,1
B15,B15-0,middle,11,8,3,5,0.375,0.625
B15,B15-0,upper,11,9,8,1,0.888888889,0.111111111
B15,B15-14,lower,40,7,0,7,0,1
B15,B15-14,middle,40,11,1,10,0.090909091,0.909090909
B15,B15-14,upper,40,22,22,0,1,0
B15,B15-25,lower,31,5,0,5,0,1
B15,B15-25,middle,31,12,1,11,0.083333333,0.916666667
B15,B15-25,upper,31,14,11,3,0.785714286,0.214285714
B15,B15-37.5,lower,28,6,0,6,0,1
B15,B15-37.5,middle,28,8,4,4,0.5,0.5
B15,B15-37.5,upper,28,14,12,2,0.857142857,0.142857143
B15,B15-50,lower,24,5,2,3,0.4,0.6
B15,B15-50,middle,24,7,4,3,0.571428571,0.428571429
B15,B15-50,upper,24,12,12,0,1,0
B17,B17-0,lower,22,6,0,6,0,1
B17,B17-0,middle,22,7,1,6,0.142857143,0.857142857
B17,B17-0,upper,22,9,7,2,0.777777778,0.222222222
B17,B17-12.5,lower,25,6,1,5,0.166666667,0.833333333
B17,B17-12.5,middle,25,10,6,4,0.6,0.4
B17,B17-12.5,upper,25,9,9,0,1,0
B17,B17-25,lower,16,7,1,6,0.142857143,0.857142857
B17,B17-25,middle,16,4,1,3,0.25,0.75
B17,B17-25,upper,16,7,7,0,1,0
B17,B17-37.5,lower,10,2,2,0,1,0
B17,B17-37.5,middle,10,4,2,2,0.5,0.5
B17,B17-37.5,upper,10,4,4,0,1,0
B17,B17-50,lower,8,0,0,0,0,0
B17,B17-50,middle,8,1,1,0,1,0
B17,B17-50,upper,8,7,5,2,0.714285714,0.285714286
B18,B18-0,lower,22,2,0,2,0,1
B18,B18-0,middle,22,9,2,7,0.222222222,0.777777778
B18,B18-0,upper,22,11,8,3,0.727272727,0.272727273
B18,B18-12.5,lower,21,8,0,8,0,1
B18,B18-12.5,middle,21,5,0,5,0,1
B18,B18-12.5,upper,21,8,8,0,1,0
B18,B18-25,lower,21,9,3,6,0.333333333,0.666666667
B18,B18-25,middle,21,6,6,0,1,0
B18,B18-25,upper,21,6,6,0,1,0
B18,B18-37.5,lower,16,6,2,4,0.333333333,0.666666667
B18,B18-37.5,middle,16,6,6,0,1,0
B18,B18-37.5,upper,16,4,4,0,1,0
B18,B18-50,lower,20,6,0,6,0,1
B18,B18-50,middle,20,8,6,2,0.75,0.25
B18,B18-50,upper,20,6,6,0,1,0
B3,B3-0,lower,7,0,0,0,0,0
B3,B3-0,middle,7,0,0,0,0,0
B3,B3-0,upper,7,9,6,3,0.666666667,0.333333333
B3,B3-10,lower,15,0,0,0,0,0
B3,B3-10,middle,15,0,0,0,0,0
B3,B3-10,upper,15,15,15,0,1,0
B3,B3-20,lower,20,0,0,0,0,0
B3,B3-20,middle,20,5,3,2,0.6,0.4
B3,B3-20,upper,20,15,15,0,1,0
B3,B3-29,lower,6,0,0,0,0,0
B3,B3-29,middle,6,2,2,0,1,0
B3,B3-29,upper,6,4,4,0,1,0
B3,B3-41,lower,12,0,0,0,0,0
B3,B3-41,middle,12,2,2,0,1,0
B3,B3-41,upper,12,10,10,0,1,0
B5,B5-0,lower,14,1,1,0,1,0
B5,B5-0,middle,14,7,7,0,1,0
B5,B5-0,upper,14,6,6,0,1,0
B5,B5-12.5,lower,21,3,3,0,1,0
B5,B5-12.5,middle,21,9,5,4,0.555555556,0.444444444
B5,B5-12.5,upper,21,9,9,0,1,0
B5,B5-25,lower,15,3,3,0,1,0
B5,B5-25,middle,15,5,5,0,1,0
B5,B5-25,upper,15,7,7,0,1,0
B5,B5-37.5,lower,11,1,0,1,0,1
B5,B5-37.5,middle,11,1,1,0,1,0
B5,B5-37.5,upper,11,6,5,1,0.833333333,0.166666667
B5,B5-50,lower,19,2,1,1,0.5,0.5
B5,B5-50,middle,19,5,4,1,0.8,0.2
B5,B5-50,upper,19,12,12,0,1,0
B7,B7-0,lower,14,5,4,1,0.8,0.2
B7,B7-0,middle,14,3,2,1,0.666666667,0.333333333
B7,B7-0,upper,14,6,6,0,1,0
B7,B7-12.5,lower,7,1,1,0,1,0
B7,B7-12.5,middle,7,1,1,0,1,0
B7,B7-12.5,upper,7,5,5,0,1,0
B7,B7-25,lower,11,2,2,0,1,0
B7,B7-25,middle,11,3,3,0,1,0
B7,B7-25,upper,11,6,6,0,1,0
B7,B7-37.5,lower,12,2,2,0,1,0
B7,B7-37.5,middle,12,3,2,1,0.666666667,0.333333333
B7,B7-37.5,upper,12,7,7,0,1,0
B7,B7-50,lower,7,1,1,0,1,0
B7,B7-50,middle,7,0,0,0,0,0
B7,B7-50,upper,7,6,6,0,1,0
