Org_trayID,Full_TrayID,Baseline,TrayID,Transect_ID,Bank_Gradient,Germinant ID,Family,Genus,Species,Specific Epithet_wconservative cf,SPECIFIC_EPITHET_FINAL,WIS_Grouped,WIS,Longevity_1,Longevity_2,Habit,Functional_Group_1,Functional_Group_2,Origin,Cultivar_Noxious,C_Value,C_Value_2
73,B15_0_TOP,B15,0,B15_0,TOP,G3,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15_0,TOP,G5,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
75,B15_50_TOP,B15,50,B15_50,TOP,G2,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G1,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G10,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G11,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G12,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G13,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G14,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G15,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G16,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G19,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G2,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G3,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G4,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G5,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G6,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G7,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G8,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,G9,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,U1,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,U2,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
76,B17_0_TOP,B17,0,B17_0,TOP,U3,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
79,B18_0_TOP,B18,0,B18_0,TOP,G1,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
81,B18_50_TOP,B18,50,B18_50,TOP,G1,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
7,B7_0_BOTTOM,B7,0,B7_0,BOTTOM,G4,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
8,B7_25_BOTTOM,B7,25,B7_25,BOTTOM,G1,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
12,B10_50_BOTTOM,B10,50,B10_50,BOTTOM,G1,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
40,B13_0_MIDDLE,B13,0,B13_0,MIDDLE,G1,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
40,B13_0_MIDDLE,B13,0,B13_0,MIDDLE,G2,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
58,B5_0_TOP,B5,0,B5_0,TOP,G5,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
67,B13_0_TOP,B13,0,B13_0,TOP,G1,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
69,B13_50_TOP,B13,50,B13_50,TOP,G1,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
71,B14_25_TOP,B14,25,B14_25,TOP,G1,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
71,B14_25_TOP,B14,25,B14_25,TOP,G2,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
75,B15_50_TOP,B15,50,B15_50,TOP,G1,Brassicaceae,Capsella,bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
48,B15_50_MIDDLE,B15,50,B15_50,MIDDLE,G13,Cyperaceae,Carex,cf. emoryi,Carex cf. emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
69,B13_50_TOP,B13,50,B13_50,TOP,G3,Cyperaceae,Carex,cf. emoryi,Carex cf. emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
69,B13_50_TOP,B13,50,B13_50,TOP,G16,Cyperaceae,Carex,cf. emoryi,Carex cf. emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
34,B7_0_MIDDLE,B7,0,B7_0,MIDDLE,G2,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
41,B13_25_MIDDLE,B13,25,B13_25,MIDDLE,G2,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
41,B13_25_MIDDLE,B13,25,B13_25,MIDDLE,U1,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
41,B13_25_MIDDLE,B13,25,B13_25,MIDDLE,U2,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
41,B13_25_MIDDLE,B13,25,B13_25,MIDDLE,U3,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
68,B13_25_TOP,B13,25,B13_25,TOP,G11,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
68,B13_25_TOP,B13,25,B13_25,TOP,G7,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
68,B13_25_TOP,B13,25,B13_25,TOP,G8,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
68,B13_25_TOP,B13,25,B13_25,TOP,G10,Cyperaceae,cf. Carex,emoryi,cf. Carex emoryi,Carex emoryi,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
10,B10_0_BOTTOM,B10,0,B10_0,BOTTOM,G1,Cyperaceae,Carex,nebrascensis ,Carex nebrascensis ,Carex nebrascensis ,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
10,B10_0_BOTTOM,B10,0,B10_0,BOTTOM,G3,Cyperaceae,cf. Carex,nebrascensis ,cf. Carex nebrascensis ,Carex nebrascensis ,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
10,B10_0_BOTTOM,B10,0,B10_0,BOTTOM,G4,Cyperaceae,cf. Carex,nebrascensis ,cf. Carex nebrascensis ,Carex nebrascensis ,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
10,B10_0_BOTTOM,B10,0,B10_0,BOTTOM,G2,Cyperaceae,cf. Carex,nebrascensis ,cf. Carex nebrascensis ,Carex nebrascensis ,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
10,B10_0_BOTTOM,B10,0,B10_0,BOTTOM,U1,Cyperaceae,cf. Carex,nebrascensis ,cf. Carex nebrascensis ,Carex nebrascensis ,FACW-OBL,OBL,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5,5
7,B7_0_BOTTOM,B7,0,B7_0,BOTTOM,G7,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
7,B7_0_BOTTOM,B7,0,B7_0,BOTTOM,G9,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
8,B7_25_BOTTOM,B7,25,B7_25,BOTTOM,G5,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
24,B17_50_BOTTOM,B17,50,B17_50,BOTTOM,G7,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
28,B3_0_MIDDLE,B3,0,B3_0,MIDDLE,G4,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
33,B5_50_MIDDLE,B5,50,B5_50,MIDDLE,G2,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
33,B5_50_MIDDLE,B5,50,B5_50,MIDDLE,G1,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
33,B5_50_MIDDLE,B5,50,B5_50,MIDDLE,G4,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
41,B13_25_MIDDLE,B13,25,B13_25,MIDDLE,G1,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
47,B15_25_MIDDLE,B15,25,B15_25,MIDDLE,G11,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
53,B18_25_MIDDLE,B18,25,B18_25,MIDDLE,G31,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
61,B7_0_TOP,B7,0,B7_0,TOP,G5,Cyperaceae,Carex,sp. ,Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
53,B18_25_MIDDLE,B18,25,B18_25,MIDDLE,G15,Cyperaceae,cf. Carex,sp. ,cf. Carex sp. ,Carex sp. ,NA,NA,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Native,NA,5 to 7,NA
54,B18_50_MIDDLE,B18,50,B18_50,MIDDLE,G5,Poaceae,cf. Poa,sp. ,cf. Poa sp. ,cf. Poa sp. ,NA,NA,NA,NA,Graminoid,NA Graminoid,NA Graminoid,NA,NA,NA,NA
58,B5_0_TOP,B5,0,B5_0,TOP,G1,Poaceae,cf. Poa,sp. ,cf. Poa sp. ,cf. Poa sp. ,NA,NA,NA,NA,Graminoid,NA Graminoid,NA Graminoid,NA,NA,NA,NA
69,B13_50_TOP,B13,50,B13_50,TOP,G17,Brassicaceae,Chorispora,tenella,Chorispora tenella,Chorispora tenella,FACU-UPL,UPL,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
73,B15_0_TOP,B15,0,B15_0,TOP,G7,Brassicaceae,Chorispora,tenella,Chorispora tenella,Chorispora tenella,FACU-UPL,UPL,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,0,0
66,B10_50_TOP,B10,50,B10_50,TOP,G2,Convolvulaceae,Convolvulus,arvensis,Convolvulus arvensis,Convolvulus arvensis,FACU-UPL,UPL,Perennial,Long-lived,Forb,Perennial Forb,Long-lived Forb,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15_0,TOP,G8,Convolvulaceae,Convolvulus,arvensis,Convolvulus arvensis,Convolvulus arvensis,FACU-UPL,UPL,Perennial,Long-lived,Forb,Perennial Forb,Long-lived Forb,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15_0,TOP,G9,Convolvulaceae,Convolvulus,arvensis,Convolvulus arvensis,Convolvulus arvensis,FACU-UPL,UPL,Perennial,Long-lived,Forb,Perennial Forb,Long-lived Forb,Introduced,List C,0,0
57,B3_41_TOP,B3,41,B3_41,TOP,G8,Cyperaceae,Cyperus,squarrosus,Cyperus squarrosus,Cyperus squarrosus,FACW-OBL,OBL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Native,NA,5,5
11,B10_25_BOTTOM,B10,25,B10_25,BOTTOM,G39,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
36,B7_50_MIDDLE,B7,50,B7_50,MIDDLE,G1,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
38,B10_25_MIDDLE,B10,25,B10_25,MIDDLE,G2,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
42,B13_50_MIDDLE,B13,50,B13_50,MIDDLE,G1,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
42,B13_50_MIDDLE,B13,50,B13_50,MIDDLE,G2,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
42,B13_50_MIDDLE,B13,50,B13_50,MIDDLE,G3,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
56,B3_20_TOP,B3,20,B3_20,TOP,G1,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
57,B3_41_TOP,B3,41,B3_41,TOP,G2,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
57,B3_41_TOP,B3,41,B3_41,TOP,G1,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
57,B3_41_TOP,B3,41,B3_41,TOP,G3,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G1,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G10,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G11,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G12,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G13,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G2,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G3,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G5,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G6,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G8,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G9,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
63,B7_50_TOP,B7,50,B7_50,TOP,G19,Poaceae,cf. Dactylis,glomerata,cf. Dactylis glomerata,Dactylis glomerata,FACU-UPL,FACU,Perennial,Long-lived,Graminoid,Perennial Graminoid,Long-lived Graminoid,Introduced,NA,0,0
